title,release_date,multiplayer,age_criteria,rating_system,link,img,off_pct,original_price,discounted_price,star_rating,total_reviews,optimization,platforms,description,sales_title,scrape_timestamp
Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2023-11-10,true,18+,IARC,https://www.xbox.com/en-in/games/store/call-of-duty-modern-warfare-iii---cross-gen-bundle/9NB54XTF084M,https://store-images.s-microsoft.com/image/apps.35931.13519812510018364.92731e53-cab3-4df2-bd66-5285f516cb31.9505edd3-27da-4bed-96d9-7fc9a08f24d0?w=200,30%,"5,599.00","3,919.30",2.8,287,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Includes:- Cross Gen Bundle of Call of Duty®: Modern Warfare® III-- Includes Xbox One and Xbox Series X|S versions of the game- Available in Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II and Call of Duty®: Warzone™:-- Soap Operator Pack*-- Zombie Ghost Operator Skin*",Countdown Sale,2023-12-30 12:16:35
Starfield,2023-09-06,false,18+,IARC,https://www.xbox.com/en-in/games/store/starfield/9NCJSXWZTP88,https://store-images.s-microsoft.com/image/apps.35187.13567343664224659.1eb6fdf9-8a0b-4344-a135-ab17dfa3c609.c83b6d6a-56c3-4c3f-8b31-456cfb21c3b7?w=200,30%,"6,499.00","4,549.30",3,1051,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One, PC","Starfield is the first new universe in 25 years from Bethesda Game Studios, the award-winning creators of The Elder Scrolls V: Skyrim and Fallout 4.",Countdown Sale,2023-12-30 12:16:35
EA SPORTS FC™ 24 Standard Edition Xbox One & Xbox Series X|S,2023-09-28,true,3+,IARC,https://www.xbox.com/en-in/games/store/ea-sports-fc-24-standard-edition-xbox-one--xbox-series-xs/9PJHKHWQQ3NB,https://store-images.s-microsoft.com/image/apps.62211.14281959400456729.871028c8-df4c-403f-826e-d4deb249dc43.b5be9148-05ab-41a0-af06-5a2e7e03d0f3?w=200,60%,"4,499.00","1,799.60",2.9,340,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","EA SPORTS FC™ 24 welcomes you to The World’s Game: the most true-to-football experience ever with HyperMotionV*, PlayStyles optimised by Opta, and an enhanced Frostbite™ Engine reinventing how 19,000+ authentic players move, play and look in every match.",Countdown Sale,2023-12-30 12:16:35
NBA 2K24 for Xbox Series X|S,2023-09-07,true,3+,IARC,https://www.xbox.com/en-in/games/store/nba-2k24-for-xbox-series-xs/9NT7FNZ0WJM1,https://store-images.s-microsoft.com/image/apps.11707.14423489333868900.58a90c8e-57f0-49bc-9fbd-69a18e6c4821.cf8ccf93-b69b-442e-a783-11b4d1519e71?w=200,55%,"4,999.00","2,249.55",2.7,293,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Grab your squad and experience the past, present, and future of hoops culture in NBA 2K24. Enjoy loads of pure, unadulterated action and limitless personalized MyPLAYER options in MyCAREER. Collect an impressive array of legends and build your perfect lineup in MyTEAM.",Countdown Sale,2023-12-30 12:16:35
The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,2023-09-18,true,12+,IARC,https://www.xbox.com/en-in/games/store/the-crew-motorfest-standard-edition---cross-gen-bundle/9N2TS3W9KLTZ,https://store-images.s-microsoft.com/image/apps.20396.13732783098848034.c01441ec-a169-44f9-85a8-8b8ad6ced9ac.3dac486d-e95f-4eee-b01a-c71ce4542879?w=200,50%,"4,999.00","2,499.50",3.1,13,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Welcome to Motorfest, the ultimate driving experience! Explore the vibrant open world of the island of O‘ahu in Hawaii as you compete in intense races, themed events, and much more! With hundreds of iconic cars to collect, you’ll have plenty of opportunities to show off your skills.",Countdown Sale,2023-12-30 12:16:35
Forza Motorsport Premium Edition,2023-10-04,true,3+,IARC,https://www.xbox.com/en-in/games/store/forza-motorsport-premium-edition/9P8PGC771MLP,https://store-images.s-microsoft.com/image/apps.23691.14083713035901346.16619c9c-f1cb-4fd8-93b8-e5754d238bfe.4052cbaa-13c5-47d9-b436-27e536e0a197?w=200,20%,"9,199.00","7,359.20",3.1,27,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One, PC",Race over 500 real-world cars including modern race cars and more than 100 cars new to Forza Motorsport.,Countdown Sale,2023-12-30 12:16:35
Mortal Kombat™ 1,2023-09-18,true,18+,IARC,https://www.xbox.com/en-in/games/store/mortal-kombat-1/9N7271QN4SGB,https://store-images.s-microsoft.com/image/apps.15385.14007497573636681.4ee0da90-8866-4e78-bc18-31395aa61837.794c9932-4346-4da4-86ed-5e5c1110a544?w=200,40%,"4,799.00","2,879.40",3.7,158,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Discover a reborn Mortal Kombat™ Universe created by the Fire God Liu Kang. Mortal Kombat™ 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities!",Countdown Sale,2023-12-30 12:16:35
Assassin’s Creed® Mirage,2023-10-04,false,18+,IARC,https://www.xbox.com/en-in/games/store/assassins-creed-mirage/9NZCJF5VF1NV,https://store-images.s-microsoft.com/image/apps.51627.14478378080353577.d9dde1a0-41ed-4026-93ef-d3e32de2f685.3a37ac18-73a3-42f9-813e-fefef8ef07e5?w=200,30%,"3,499.00","2,449.30",3.5,38,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Experience the story of Basim, a cunning street thief with nightmarish visions, seeking answers and justice as he navigates the bustling streets of ninth-century Baghdad.",Countdown Sale,2023-12-30 12:16:35
Party Animals,2023-09-20,true,3+,IARC,https://www.xbox.com/en-in/games/store/party-animals/9MZ08RDQ4DM1,https://store-images.s-microsoft.com/image/apps.62616.13884485183103116.6713b960-1bc1-48a2-8409-f9f6752fffef.208ff0d5-6ed5-4d5d-9f8f-003f5be0d459?w=200,30%,"1,124.00",786.80,3.8,108,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One",A PHYSICS BASED PARTY GAMEBEST GAME FOR A SATURDAY NIGHT WITH FRIENDS,Countdown Sale,2023-12-30 12:16:35
Street Fighter™ 6,2023-06-02,true,18+,IARC,https://www.xbox.com/en-in/games/store/street-fighter-6/9NM79B7N9JM6,https://store-images.s-microsoft.com/image/apps.59767.13692859679694975.e75973fd-baa7-4055-b1d0-e3c20f0de58f.a441af0a-a76d-4258-85ef-b1f0174c3dfe?w=200,33%,"3,999.00","2,679.33",3.9,9,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter™ series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub.",Countdown Sale,2023-12-30 12:16:35
